id;airport_code;airport_name;aiport_country_code;airport_elevation;airport_continent
330;BCT;Boca Raton Airport;US;13;NA
331;BKQ;Blackall Airport;AU;928;OC
332;ORC;Orocue Airport;CO;434;SA
333;HVK;Hólmavík Airport;IS;90;EU
334;NGD;Captain Auguste George Airport;VG;9;NA
335;OSL;Oslo Gardermoen Airport;NO;681;EU
336;ZLT;La Tabatière Airport;CA;102;NA
337;KMX;King Khaled Air Base;SA;6778;AS
338;UKH;Mukhaizna Airport;OM;473;AS
339;VPE;Ngjiva Pereira Airport;AO;3566;AF
340;CRB;Collarenebri Airport;AU;152;OC
341;PSV;Papa Stour Airport;GB;;EU
342;MGC;Michigan City Municipal Airport;US;655;NA
343;HGS;Hastings Airport;SL;60;AF
344;KNS;King Island Airport;AU;132;OC
345;HBT;Hambantota Seaplane Base;LK;0;AS
346;NBS;Changbaishan Airport;CN;2874;AS
347;BPM;Begumpet Airport;IN;1742;AS
348;GGS;Gobernador Gregores Airport;AR;356;SA
349;LUL;Hesler Noble Field;US;238;NA
350;KUY;Kamusi Airport;PG;97;OC
351;HDY;Hat Yai International Airport;TH;90;AS
352;YSK;Sanikiluaq Airport;CA;104;NA
353;YQG;Windsor Airport;CA;622;NA
354;TAH;Tanna Airport;VU;19;OC
355;DGT;Sibulan Airport;PH;15;AS
356;MYU;Mekoryuk Airport;US;48;NA
357;IPC;Mataveri Airport;CL;227;SA
358;APO;Antonio Roldan Betancourt Airport;CO;46;SA
359;AQY;Girdwood Airport;US;150;NA
360;DEE;Mendeleyevo Airport;RU;584;AS
361;CBJ;Cabo Rojo Airport;DO;262;NA
362;MNF;Mana Island Airport;FJ;;OC
363;SHA;Shanghai Hongqiao International Airport;CN;10;AS
364;DJM;Djambala Airport;CG;2595;AF
365;BNY;Bellona/Anua Airport;SB;60;OC
366;ETS;Enterprise Municipal Airport;US;361;NA
367;RTN;Raton Municipal-Crews Field;US;6352;NA
368;EAL;Elenak Airport;MH;16;OC
369;LCC;Lecce Galatina Air Base;IT;156;EU
370;EUA;Kaufana Airport;TO;325;OC
371;FYU;Fort Yukon Airport;US;433;NA
372;MVP;Fabio Alberto Leon Bentley Airport;CO;680;SA
373;CMP;Santana do Araguaia Airport;BR;597;SA
374;AKK;Akhiok Airport;US;44;NA
375;GUS;Grissom Air Reserve Base;US;812;NA
376;KSF;Kassel-Calden Airport;DE;820;EU
377;BEL;Val de Cans/Júlio Cezar Ribeiro International Airport;BR;54;SA
378;OYO;Tres Arroyos Airport;AR;400;SA
379;HGE;Higuerote Airport;VE;12;SA
380;AFD;Port Alfred Airport;ZA;275;AF
381;KRQ;Kramatorsk Airport;UA;646;EU
382;SZA;Soyo Airport;AO;15;AF
383;YNH;Hudsons Hope Airport;CA;2220;NA
384;MVI;Manetai Airport;PG;170;OC
385;NEF;Neftekamsk Airport;RU;456;EU
386;LDC;Lindeman Island Airport;AU;;OC
387;ANA;Angama Airport;KE;6180;AF
388;TUH;Arnold Air Force Base;US;1067;NA
389;ASK;Yamoussoukro Airport;CI;699;AF
390;PIC;Pine Cay Airport;TC;3;NA
391;FBL;Faribault Municipal Airport-Liz Wall Strohfus Field;US;1060;NA
392;SQR;Soroako Airport;ID;1388;AS
393;SHN;Sanderson Field;US;273;NA
394;OKT;Oktyabrskiy Airport;RU;377;EU
395;OTK;Tillamook Airport;US;36;NA
396;PWR;Port Walter Seaplane Base;US;0;NA
397;RMF;Marsa Alam International Airport;EG;251;AF
398;BNL;Barnwell Regional Airport;US;246;NA
399;BNK;Ballina Byron Gateway Airport;AU;7;OC
400;FNH;Fincha Airport;ET;7600;AF
401;LVS;Las Vegas Municipal Airport;US;6877;NA
402;REZ;Resende Airport;BR;1320;SA
403;MAG;Madang Airport;PG;20;OC
404;CME;Ciudad del Carmen International Airport;MX;10;NA
405;NPU;San Pedro Airport;CO;420;SA
406;LPE;La Primavera Airport;CO;390;SA
407;HCW;Cheraw Municipal Airport/Lynch Bellinger Field;US;239;NA
408;BNM;Bodinumu Airport;PG;3700;OC
409;YEL;Elliot Lake Municipal Airport;CA;1087;NA
410;MAG;Madang Airport;PG;20;OC
411;ZTR;Zhytomyr Airport;UA;;EU
412;RHN;Skorpion Mine Airport;NA;1870;AF
413;QPH;Palapye Airport;BW;3000;AF
414;YDC;Drayton Valley Industrial Airport;CA;2776;NA
415;GLH;Mid Delta Regional Airport;US;131;NA
416;RUD;Shahroud Airport;IR;4215;AS
417;LOO;Laghouat Airport;DZ;2510;AF
418;JLN;Joplin Regional Airport;US;981;NA
419;SAT;San Antonio International Airport;US;809;NA
420;WSP;Waspam Airport;NI;98;NA
421;GVX;Gävle Sandviken Airport;SE;224;EU
422;PUI;Pureni Airport;PG;5512;OC
423;PAZ;El Tajín National Airport;MX;497;NA
424;JEG;Aasiaat Airport;GL;74;NA
425;BBB;Benson Municipal Airport;US;1039;NA
426;DRJ;Drietabbetje Airport;SR;236;SA
427;FRI;Marshall Army Air Field;US;1065;NA
428;SVJ;Svolvær Helle Airport;NO;27;EU
429;ACS;Achinsk Airport;RU;1033;AS
430;WOS;Wonsan Kalma International Airport;KP;7;AS
431;WAR;Waris Airport;ID;1500;AS
432;ELU;Guemar Airport;DZ;203;AF
433;MDS;Middle Caicos Airport;TC;9;NA
434;ONU;Ono-i-Lau Airport;FJ;110;OC
435;DRB;Derby Airport;AU;24;OC
436;POO;Poços de Caldas - Embaixador Walther Moreira Salles Airport;BR;4135;SA
437;CPO;Desierto de Atacama Airport;CL;670;SA
438;FRL;Forlì Airport;IT;97;EU
439;DUQ;Duncan Airport;CA;300;NA
440;HRM;Hassi R'Mel Airport;DZ;2540;AF
441;SSK;Sturt Creek Airport;AU;;OC
442;BJC;Rocky Mountain Metropolitan Airport;US;5673;NA
443;BKI;Kota Kinabalu International Airport;MY;10;AS
444;UST;Northeast Florida Regional Airport;US;10;NA
445;YFI;Fort Mackay / Firebag;CA;1762;NA
446;BZU;Buta Zega Airport;CD;1378;AF
447;SOL;Solomon State Field;US;25;NA
448;OFF;Offutt Air Force Base;US;1052;NA
449;AMT;Amata Airport;AU;695;OC
450;CTD;Alonso Valderrama Airport;PA;33;NA
451;TWE;Taylor Airport;US;440;NA
452;MTW;Manitowoc County Airport;US;651;NA
453;PZE;Penzance Heliport;GB;14;EU
454;IRU;Iranamadu Seaplane Base;LK;102;AS
455;AMA;Rick Husband Amarillo International Airport;US;3607;NA
456;HWA;Hawabango Airport;PG;4563;OC
457;BAY;Maramureș International Airport;RO;605;EU
458;WGT;Wangaratta Airport;AU;504;OC
459;CTR;Cattle Creek Airport;AU;;OC
460;CCA;Chimore Airport;BO;875;SA
461;SKI;Skikda Airport;DZ;27;AF
462;NSI;Yaoundé Nsimalen International Airport;CM;2278;AF
463;LSV;Nellis Air Force Base;US;1870;NA
464;PKV;Pskov Airport;RU;154;EU
465;WOA;Wonenara Airport;PG;5028;OC
466;SMH;Sapmanga Airport;PG;2912;OC
467;ISD;Santa Bárbara Airport;CO;10;SA
468;MBM;Mkambati Airport;ZA;560;AF
469;DLH;Duluth International Airport;US;1428;NA
470;EAE;Siwo Airport;VU;7;OC
471;OKA;Naha Airport;JP;12;AS
472;WMB;Warrnambool Airport;AU;242;OC
473;CCA;Chimore Airport;BO;875;SA
474;XBB;Blubber Bay Seaplane Base;CA;0;NA
475;FXE;Fort Lauderdale Executive Airport;US;13;NA
476;YXP;Pangnirtung Airport;CA;75;NA
477;YNB;Prince Abdulmohsin Bin Abdulaziz Airport;SA;26;AS
478;NRN;Weeze Airport;DE;106;EU
479;0;Fazenda Constância Airport;BR;1673;SA
480;KST;Kosti Airport;SD;1289;AF
481;SFA;Sfax Thyna International Airport;TN;85;AF
482;KNQ;Koné Airport;NC;23;OC
483;MCG;McGrath Airport;US;341;NA
484;VGD;Vologda Airport;RU;387;EU
485;SXY;Sidney Municipal Airport;US;1027;NA
486;CMH;John Glenn Columbus International Airport;US;815;NA
487;WLC;Walcha Airport;AU;;OC
488;LHK;Guangzhou MR Air Base;CN;;AS
489;FMN;Four Corners Regional Airport;US;5506;NA
490;GBF;Negarbo(Negabo) Airport;PG;4500;OC
491;AMF;Ama Airport;PG;145;OC
492;OSS;Osh Airport;KG;2927;AS
493;WMD;Mandabe Airport;MG;951;AF
494;CFS;Coffs Harbour Airport;AU;18;OC
495;MJU;Tampa Padang Airport;ID;49;AS
496;BXW;Bawean Airport;ID;93;AS
497;TJL;Plínio Alarcom Airport;BR;1050;SA
498;GYA;Capitán de Av. Emilio Beltrán Airport;BO;557;SA
499;HLD;Dongshan Airport;CN;2169;AS
500;KYO;Tampa North Aero Park Airport;US;68;NA
501;BJY;Batajnica Air Base;RS;265;EU
502;WLS;Hihifo Airport;WF;79;OC
503;NLK;Norfolk Island International Airport;NF;371;OC
504;LJU;Ljubljana Jože Pučnik Airport;SI;1273;EU
505;AHI;Amahai Airport;ID;29;AS
506;UMS;Ust-Maya Airport;RU;561;EU
507;IQA;Al Asad Air Base;IQ;618;AS
508;LPE;La Primavera Airport;CO;3600;SA
509;MZE;Manatee Airport;BZ;343;NA
510;DGC;Degah Bur Airport;ET;3550;AF
511;ICR;Nicaro Airport;CU;26;NA
512;PGV;Pitt Greenville Airport;US;26;NA
513;MRJ;Colon Airport;HN;1240;NA
514;CEC;Jack Mc Namara Field Airport;US;61;NA
515;GWE;Thornhill Air Base;ZW;4680;AF
516;ADF;Adıyaman Airport;TR;2216;AS
517;ORC;Orocue Airport;CO;434;SA
518;LTH;Lathrop Wells Airport / Jackass Aeropark;US;2650;NA
519;BXO;Buochs Airport;CH;1475;EU
520;TKS;Tokushima Airport/JMSDF Air Base;JP;26;AS
521;SXF;Berlin-Schönefeld Airport;DE;157;EU
522;BWI;Baltimore/Washington International Thurgood Marshall Airport;US;146;NA
523;DKK;Chautauqua County-Dunkirk Airport;US;693;NA
524;UMR;Woomera Airfield;AU;548;OC
525;LUS;Lusanga Airport;CD;1365;AF
526;GRX;Federico Garcia Lorca Airport;ES;1860;EU
527;ZAG;Zagreb Airport;HR;353;EU
528;XOG;Orange-Caritat (BA 115) Air Base;FR;197;EU
529;MMM;Middlemount Airport;AU;547;OC
530;UEL;Quelimane Airport;MZ;36;AF
531;CJS;Abraham González International Airport;MX;3904;NA
532;IBZ;Ibiza Airport;ES;24;EU
533;MPX;Miyanmin Airport;PG;2500;OC
534;GNA;Hrodna Airport;BY;443;EU
535;OCN;Oceanside Municipal Airport;US;28;NA
536;WPA;Cabo 1° Juan Román Airport;CL;30;SA
537;PEK;Beijing Capital International Airport;CN;116;AS
538;HCR;Holy Cross Airport;US;70;NA
539;ICC;Andrés Miguel Salazar Marcano Airport;VE;10;SA
540;PHC;Port Harcourt International Airport;NG;87;AF
541;PEE;Bolshoye Savino Airport;RU;404;EU
542;BFE;Bielefeld Airport;DE;454;EU
543;FAH;Farah Airport;AF;3083;AS
544;BKR;Bokoro Airport;TD;984;AF
545;SNJ;San Julian Air Base;CU;98;NA
546;ADG;Lenawee County Airport;US;798;NA
547;GOJ;Nizhny Novgorod Strigino International Airport;RU;256;EU
548;ZVK;Savannakhet Airport;LA;509;AS
549;XFN;Xiangyang Liuji Airport;CN;;AS
550;KUP;Kupiano Airport;PG;90;OC
551;AEA;Abemama Atoll Airport;KI;8;OC
552;SNK;Winston Field;US;2430;NA
